mode,load,0_inception_v3-32,1_densenet201-16,2_resnet101-4
mps-uncap,1.0,1687.1979316295651,421.8007541634221,256.67788879940787
mig,1.0,1562.5109970337285,346.92610891127015,353.29994992433797
