mode,load,0_inception_v3-32,1_mobilenet_v3_large-16,2_vgg16-32
mps-uncap,0.8,77.74710655212402,35.91475486755371,23.110628128051758
mps-uncap,0.9,74.53898191452025,36.77670478820801,23.59797477722168
mps-uncap,1.0,80.36255359649658,35.96186637878418,23.576140403747562
mps-uncap,0.5,63.524723052978516,29.81945753097535,22.17485189437866
mps-uncap,0.6,70.44349193573,28.30104351043699,22.70762205123901
mps-uncap,0.7,69.66266393661499,33.23455810546875,22.91755437850952
mps-uncap,0.1,24.34501171112063,19.2423415184021,19.77613925933838
mps-uncap,0.2,43.600199222564704,19.15811777114868,20.50049066543579
mps-uncap,0.3,59.93044376373292,22.412996292114258,21.325778961181637
mps-uncap,0.4,59.63359832763673,23.519434928894047,21.52941703796387
