mode,load,0_inception_v3-32,1_mobilenet_v3_large-16,2_vgg16-32
mps-uncap,0.8,382.52820294718765,456.17886915447485,1159.030225319949
mps-uncap,0.9,382.0758440874943,521.4408296287634,1343.8205976710826
mps-uncap,1.0,414.15078310211163,555.603963034429,1416.126135036438
mps-uncap,0.5,221.38534992845038,292.5315825722074,763.5043288701559
mps-uncap,0.6,260.5701450936132,328.2886945089029,884.4113189956364
mps-uncap,0.7,286.99196622717506,391.8983123439714,1054.4002408467081
mps-uncap,0.1,44.86377153580495,54.8342398884816,153.56040841538797
mps-uncap,0.2,81.567143672635,110.60529975408205,265.35431256703924
mps-uncap,0.3,128.25453242786367,175.47286560170772,440.07888685876134
mps-uncap,0.4,166.97806664914944,229.78908823545197,560.3629534944429
