mode,load,0_densenet169-16,1_densenet201-2,2_inception_v3-32
mps-uncap,0.8,155.12371063232422,160.89200973510742,157.3483943939209
mps-uncap,0.9,311.4030361175537,166.96739196777344,280.7042598724365
mps-uncap,1.0,1213.3674621582031,288.6309623718262,761.3286972045898
mps-uncap,0.5,66.24913215637207,73.53663444519043,53.891658782958984
mps-uncap,0.6,71.97284698486328,63.19761276245117,73.31442832946777
mps-uncap,0.7,127.72226333618164,90.89255332946777,95.42322158813477
mps-uncap,0.1,22.580862045288086,32.98234939575195,10.996103286743164
mps-uncap,0.2,41.98789596557617,33.80846977233887,28.418540954589844
mps-uncap,0.3,44.90399360656738,39.337873458862305,33.08582305908203
mps-uncap,0.4,32.94515609741211,41.854143142700195,31.465768814086914
