mode,load,0_densenet169-16,1_densenet201-2,2_inception_v3-32
mps-uncap,0.8,24.312992095947262,23.557832241058343,17.157793045043945
mps-uncap,0.9,24.502282142639157,23.852229118347168,17.236380577087402
mps-uncap,1.0,24.80559349060059,24.116005897521973,17.41055727005005
mps-uncap,0.5,23.791394233703613,24.267637729644775,16.82488441467285
mps-uncap,0.6,23.790206909179688,23.2667064666748,16.811227798461914
mps-uncap,0.7,23.964104652404785,23.35329294204712,16.94345474243164
mps-uncap,0.1,27.03553199768066,33.381714820861816,15.512495040893553
mps-uncap,0.2,27.155280113220215,32.73029327392578,16.35921001434326
mps-uncap,0.3,26.593923568725586,27.693731784820578,16.32020950317383
mps-uncap,0.4,24.82349395751953,24.99026298522948,16.752173900604244
