mode,load,0_densenet169-16,1_densenet201-2,2_inception_v3-32
mps-uncap,0.8,12.109518051147461,11.950254440307617,10.393857955932617
mps-uncap,0.9,12.105941772460938,12.127876281738281,10.38813591003418
mps-uncap,1.0,12.23897933959961,12.257814407348633,10.430335998535156
mps-uncap,0.5,12.186288833618164,12.26186752319336,10.334014892578125
mps-uncap,0.6,12.098550796508789,12.574195861816406,10.328531265258789
mps-uncap,0.7,12.183427810668945,12.195825576782227,10.327577590942383
mps-uncap,0.1,12.233257293701172,12.289047241210938,10.337114334106445
mps-uncap,0.2,12.216329574584961,12.029886245727539,10.332822799682617
mps-uncap,0.3,12.196779251098633,12.066841125488281,10.350942611694336
mps-uncap,0.4,12.201547622680664,12.28189468383789,10.369539260864258
