mode,load,0_densenet169-16,1_densenet201-2,2_inception_v3-32
mps-uncap,0.8,565.3636132501342,65.2234448423588,1475.7169698352234
mps-uncap,0.9,673.7188014087748,77.0207438457088,1724.9963308787042
mps-uncap,1.0,707.7134220888407,82.09450765015237,1970.8322486274292
mps-uncap,0.5,354.0045856046673,40.25405134993552,935.7675662867521
mps-uncap,0.6,440.8598824555158,48.92291726308284,1163.4576998696662
mps-uncap,0.7,494.0819972000162,57.30473858446847,1302.1001672395223
mps-uncap,0.1,73.9677313793305,8.345006044398525,218.27085430503053
mps-uncap,0.2,144.41454269170592,17.13755690322204,401.9383487154545
mps-uncap,0.3,198.14578800702157,24.433851791484784,584.6617932942512
mps-uncap,0.4,280.2021601097176,31.263871025326598,750.8658763341855
