mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,16.50547981262207,22.760391235351562,3.366708755493164
mig,0.6,34.038543701171875,77.74901390075684,3.581523895263672
mps-uncap,0.7,16.514301300048828,22.829532623291016,3.483295440673828
mig,0.7,34.03329849243164,77.73160934448242,3.5924911499023438
mps-uncap,0.8,16.560077667236328,22.902965545654297,7.318973541259766
mig,0.8,34.03949737548828,78.12094688415527,3.587484359741211
mps-uncap,0.9,16.555070877075195,23.088932037353516,7.195234298706055
mig,0.9,34.058332443237305,77.94857025146484,3.6377906799316406
mps-uncap,1.0,16.535282135009766,23.007631301879883,6.8149566650390625
mig,1.0,34.44623947143555,79.8485279083252,3.648519515991211
mps-uncap,1.1,16.625404357910156,23.22220802307129,5.785942077636719
mig,1.1,34.31987762451172,78.78446578979492,3.6351680755615234
mps-uncap,1.2,16.349315643310547,23.134708404541016,17.73834228515625
mig,1.2,35.56966781616211,80.12747764587402,3.657817840576172
mps-uncap,1.3,16.598224639892578,23.198843002319336,14.234066009521484
mig,1.3,35.42041778564453,80.01089096069336,3.6814212799072266
