mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,20.077228546142578,34.211158752441406,35.8579158782959
mig,0.6,52.255988121032715,99.59030151367188,5.1593780517578125
mps-uncap,0.7,23.195505142211914,37.60039806365967,4981.274127960205
mig,0.7,59.90433692932129,127.30741500854492,6.426572799682617
mps-uncap,0.8,28.748035430908203,40.29643535614014,12640.232801437378
mig,0.8,69.97835636138916,206.8955898284912,8.10694694519043
mps-uncap,0.9,31.769990921020508,42.53673553466797,23034.5299243927
mig,0.9,141.51978492736816,222.22900390625,16.644001007080078
mps-uncap,1.0,34.783244132995605,44.910430908203125,27631.783962249756
mig,1.0,597.9094505310059,1308.520793914795,370.2343702316284
mps-uncap,1.1,55.0537109375,51.09405517578125,32760.547637939453
mig,1.1,4628.821849822998,3567.5153732299805,3339.740991592407
mps-uncap,1.2,96.60530090332031,65.46807289123535,34623.779296875
mig,1.2,7374.342679977417,11304.925560951233,7563.76838684082
mps-uncap,1.3,327.27766036987305,83.60207080841064,32875.959515571594
mig,1.3,10031.207084655762,9331.879138946533,8917.8946018219
