mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,519.2178779853696,218.60960562690062,312.14856175164397
mig,0.6,523.2544796467765,231.64104890554583,313.71432770551917
mps-uncap,0.7,584.3918241628363,263.81507073722537,337.43624162879973
mig,0.7,599.6489950234237,262.16028578154857,366.39045887194646
mps-uncap,0.8,689.7815558455752,298.6095107999583,297.21017563079744
mig,0.8,679.238155098052,324.67545023582966,423.1297934867081
mps-uncap,0.9,758.3916942381679,359.06543390847287,252.1345284999492
mig,0.9,787.9446006698644,329.48457961576383,484.0967514719371
mps-uncap,1.0,883.1547593844075,396.3680450556954,205.28049815268847
mig,1.0,843.9161830355058,384.02042118529346,528.403320247322
mps-uncap,1.1,979.2945786088515,430.5608203262892,160.1680642614673
mig,1.1,860.7876975011475,384.9045079578565,532.7215522028574
mps-uncap,1.2,1027.9950284435395,485.0517131712924,117.16254640182754
mig,1.2,863.1975582568695,385.4344193973507,530.0034998604456
mps-uncap,1.3,1136.1333361512627,506.1279455875258,76.37516465192236
mig,1.3,864.3737383605783,386.2335649138332,528.862375213991
