mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,18.941903114318862,18.331336975097656,133.35061073303223
mig,0.6,84.87119674682619,142.00353622436523,7.56211280822754
mps-uncap,0.7,26.708602905273494,26.205897331237793,8806.671142578125
mig,0.7,102.1881103515625,206.24909400939958,10.920953750610352
mps-uncap,0.8,42.066526412963874,38.06424140930176,24046.25759124756
mig,0.8,134.4662189483643,541.6254997253418,16.367721557617198
mps-uncap,0.9,48.25632572174074,41.157937049865765,38126.36160850525
mig,0.9,318.3573246002198,436.0669612884524,44.275045394897454
mps-uncap,1.0,61.39860153198243,55.35163879394532,49149.50046539307
mig,1.0,2440.1873588562016,2301.0581016540527,625.3306865692139
mps-uncap,1.1,150.51693916320804,99.74894523620608,62118.14317703247
mig,1.1,8969.025135040283,6496.012377738953,6381.080722808838
mps-uncap,1.2,323.9612579345703,111.53380870819092,65350.82197189331
mig,1.2,15210.703372955322,14889.572572708132,13647.779655456547
mps-uncap,1.3,704.714918136597,152.27611064910877,68292.02389717102
mig,1.3,18658.98895263672,18176.91493034363,16525.27232170105
