mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,38.0569052696228,50.58690071105956,36.84529066085815
mig,0.6,39.34023380279541,84.37530994415282,4.773745536804199
mps-uncap,0.7,39.065680503845215,51.1553525924683,38.34288120269776
mig,0.7,39.63813781738282,84.65877056121826,4.493465423583984
mps-uncap,0.8,38.69286775588989,52.80635356903074,50.18534183502195
mig,0.8,39.80569839477539,85.09893417358398,4.4161176681518555
mps-uncap,0.9,38.69668722152709,51.70317888259888,54.146604537963825
mig,0.9,40.58128356933594,85.5196475982666,4.508018493652344
mps-uncap,1.0,39.34841871261596,52.43750572204592,62.549772262573065
mig,1.0,40.96020698547363,86.41315460205078,4.532098770141602
mps-uncap,1.1,39.6101665496826,53.623094558715835,69.95438098907472
mig,1.1,40.96198081970215,86.40474796295166,4.504604339599608
mps-uncap,1.2,39.72285985946655,53.105101585388184,73.33111524581908
mig,1.2,40.692925453186035,86.62246227264404,4.453229904174807
mps-uncap,1.3,39.60226058959961,54.03714179992676,76.6233682632446
mig,1.3,40.94748497009277,86.3864278793335,4.50922966003418
