mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,54.680585861206055,59.249162673950195,75.47950744628906
mig,0.6,40.799856185913086,85.2346420288086,7.051706314086914
mps-uncap,0.7,41.08166694641113,55.77874183654785,79.44035530090332
mig,0.7,41.092634201049805,86.32969856262207,11.485815048217773
mps-uncap,0.8,43.045997619628906,54.64982986450195,83.37235450744629
mig,0.8,42.42992401123047,88.20080757141113,7.715702056884766
mps-uncap,0.9,42.21510887145996,54.934024810791016,83.31036567687988
mig,0.9,43.374061584472656,97.26524353027344,17.811298370361328
mps-uncap,1.0,43.76387596130371,54.26478385925293,80.72543144226074
mig,1.0,47.525882720947266,87.38470077514648,17.711877822875977
mps-uncap,1.1,49.224853515625,56.829214096069336,82.97085762023926
mig,1.1,42.90628433227539,96.8940258026123,16.906261444091797
mps-uncap,1.2,42.8774356842041,56.71405792236328,84.37323570251465
mig,1.2,42.89650917053223,89.51854705810547,16.41249656677246
mps-uncap,1.3,42.108774185180664,59.252262115478516,83.21166038513184
mig,1.3,47.0583438873291,87.79788017272949,11.477231979370117
