mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,80.74602365493774,94.2678880691528,337.7340197563171
mig,0.6,212.34677791595456,348.3072876930235,19.607198238372803
mps-uncap,0.7,90.03930091857909,91.63330793380747,9312.093603610992
mig,0.7,233.62550735473633,421.07982158660906,23.896131515502926
mps-uncap,0.8,135.49233675003052,122.3763227462767,26004.305827617645
mig,0.8,273.9537954330445,975.8507013320923,38.37221622467042
mps-uncap,0.9,140.11750698089585,138.61109733581546,41301.73928260803
mig,0.9,501.79397106170654,720.0650787353516,88.04694175720216
mps-uncap,1.0,159.7422766685485,183.37568759918213,54226.78943634033
mig,1.0,2929.187769889832,2817.1729183197017,726.8283867835999
mps-uncap,1.1,340.63242435455265,259.2058467864991,65319.368052482605
mig,1.1,9477.055859565735,6868.1472754478455,6686.679244041443
mps-uncap,1.2,555.3012490272525,325.6182289123537,72529.91508960724
mig,1.2,16577.11570262909,16129.210855960846,15026.143765449526
mps-uncap,1.3,1011.1045360565186,351.959958076477,79677.2421002388
mig,1.3,20456.1047077179,19732.051014900208,18189.872241020203
