mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,30.53724765777588,42.62752532958985,14.316439628601074
mig,0.6,37.86633014678955,82.39662647247314,4.121232032775879
mps-uncap,0.7,32.59758949279786,44.004082679748535,15.637755393981934
mig,0.7,38.07187080383301,82.63306617736816,3.976774215698243
mps-uncap,0.8,33.927536010742195,46.86760902404785,16.643047332763672
mig,0.8,38.25850486755371,83.07862281799316,3.912687301635742
mps-uncap,0.9,34.30817127227783,46.81129455566407,17.622804641723633
mig,0.9,38.78822326660156,83.7028980255127,3.948211669921875
mps-uncap,1.0,35.00525951385498,48.3795166015625,21.951770782470707
mig,1.0,39.01634216308594,84.17215347290039,3.909850120544434
mps-uncap,1.1,35.67466735839844,49.632930755615234,36.11207008361817
mig,1.1,38.92803192138672,84.05756950378418,3.879070281982422
mps-uncap,1.2,35.935282707214355,49.93081092834473,54.15349006652832
mig,1.2,38.776397705078125,84.18056964874268,3.8671493530273438
mps-uncap,1.3,36.23800277709961,50.38583278656006,63.11237812042236
mig,1.3,38.79070281982422,84.11335945129395,3.890514373779297
