mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,41.19265079498292,52.41699218750001,139.01138305664062
mig,0.6,120.6977128982544,222.90480136871338,11.243033409118652
mps-uncap,0.7,51.1235237121582,58.97927284240723,8812.309265136719
mig,0.7,138.91935348510742,287.30273246765137,14.639902114868171
mps-uncap,0.8,65.40472507476807,76.93493366241455,24050.498819351196
mig,0.8,170.85266113281253,623.7754821777344,20.07756233215332
mps-uncap,0.9,72.97646999359131,81.47561550140384,38131.97822570801
mig,0.9,355.5462360382081,517.2804355621339,48.05617332458494
mps-uncap,1.0,88.27562332153322,98.00128936767578,49153.92470359802
mig,1.0,2476.618909835816,2384.0465545654297,629.0873527526855
mps-uncap,1.1,176.05328559875494,143.8526630401612,62121.49610519409
mig,1.1,9006.896495819092,6581.287169456482,6384.766960144043
mps-uncap,1.2,349.9187231063843,159.6730947494507,65387.85512447357
mig,1.2,15247.166872024536,14972.965717315676,13652.123737335207
mps-uncap,1.3,732.0152282714851,199.73490238189692,68312.62934207916
mig,1.3,18695.52969932556,18259.594631195072,16529.006457328796
