mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,138.36359977722168,120.63097953796387,434.3876838684082
mig,0.6,279.712438583374,408.99109840393066,31.7537784576416
mps-uncap,0.7,132.88497924804688,109.14349555969238,9489.42518234253
mig,0.7,266.7880058288574,545.3331470489502,58.748483657836914
mps-uncap,0.8,176.4087677001953,153.43308448791504,26350.18825531006
mig,0.8,330.2147388458252,1162.1785163879395,61.237335205078125
mps-uncap,0.9,286.06104850769043,217.72050857543945,42006.55126571655
mig,0.9,638.5297775268555,816.2634372711182,118.09825897216797
mps-uncap,1.0,228.84106636047363,254.01711463928223,55179.86297607422
mig,1.0,3077.2523880004883,3037.6949310302734,760.0343227386475
mps-uncap,1.1,499.361515045166,343.36256980895996,65866.40548706055
mig,1.1,9562.953233718872,7028.892517089844,6717.159986495972
mps-uncap,1.2,648.5893726348877,425.2605438232422,73844.32435035706
mig,1.2,16876.593112945557,16506.758213043213,15187.943935394287
mps-uncap,1.3,1180.0906658172607,412.58788108825684,80722.92947769165
mig,1.3,20589.412689208984,19948.04859161377,18399.952173233032
