mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,56.19339227676391,50.626239776611186,333.20045471191366
mig,0.6,175.2773928642273,265.0493860244748,15.96246480941773
mps-uncap,0.7,61.99469089508056,53.78730297088624,9307.197117805481
mig,0.7,195.3862190246583,338.6927700042728,20.164346694946282
mps-uncap,0.8,108.94313812255862,82.7258467674255,25995.07257461548
mig,0.8,237.34780311584478,893.8728332519531,34.615530967712424
mps-uncap,0.9,113.99137973785393,95.78817367553712,41297.59099006653
mig,0.9,464.2637109756469,639.09188747406,84.19122695922863
mps-uncap,1.0,134.6123743057251,139.2710876464848,54223.3717918396
mig,1.0,2892.5210571289067,2735.513525009155,723.0018758773804
mps-uncap,1.1,309.1361570358273,213.27318191528352,65314.77771759033
mig,1.1,9438.74864578247,6785.471911430359,6682.9694747924805
mps-uncap,1.2,534.5475077629092,279.1873073577883,72508.25716972351
mig,1.2,16540.048599243164,16046.568949222565,15022.434344291687
mps-uncap,1.3,991.9812297821046,304.9405527114868,79644.28216218947
mig,1.3,20419.27180290222,19649.79392528534,18186.168477535248
