mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,0.02002716064453125,0.025272369384765625,29.854655265808105
mig,0.6,16.232848167419434,18.7225341796875,1.4017820358276367
mps-uncap,0.7,0.018835067749023438,0.021457672119140625,4975.471019744873
mig,0.7,23.837804794311523,46.24009132385254,2.725839614868164
mps-uncap,0.8,0.6663799285888672,0.02467632293701172,12634.521007537842
mig,0.8,33.6451530456543,124.5415210723877,4.38690185546875
mps-uncap,0.9,5.39708137512207,0.021219253540039062,23031.11243247986
mig,0.9,104.64859008789062,141.2980556488037,12.861251831054688
mps-uncap,1.0,10.31959056854248,0.025510787963867188,27626.96599960327
mig,1.0,560.4586601257324,1227.1497249603271,366.4900064468384
mps-uncap,1.1,28.817176818847656,8.203744888305664,32756.10613822937
mig,1.1,4590.4600620269775,3485.461473464966,3335.841178894043
mps-uncap,1.2,69.29636001586914,23.53346347808838,34615.54956436157
mig,1.2,7338.058948516846,11222.830295562744,7560.094356536865
mps-uncap,1.3,301.3780117034912,37.92572021484375,32826.91669464111
mig,1.3,9994.26794052124,9249.704599380493,8914.157748222351
