mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,0.0133514404296875,0.013113021850585938,0.01239776611328125
mig,0.6,0.013113021850585938,0.013828277587890625,0.011205673217773438
mps-uncap,0.7,0.010728836059570312,0.0133514404296875,0.01430511474609375
mig,0.7,0.011205673217773438,0.013828277587890625,0.011205673217773438
mps-uncap,0.8,0.012874603271484375,0.013589859008789062,0.025987625122070312
mig,0.8,0.012874603271484375,0.012874603271484375,0.010967254638671875
mps-uncap,0.9,0.012874603271484375,0.012874603271484375,0.014066696166992188
mig,0.9,0.013113021850585938,0.014066696166992188,0.011444091796875
mps-uncap,1.0,0.012874603271484375,0.013113021850585938,0.024318695068359375
mig,1.0,0.013589859008789062,0.014066696166992188,0.014066696166992188
mps-uncap,1.1,0.013113021850585938,0.011682510375976562,0.023603439331054688
mig,1.1,0.018835067749023438,0.0133514404296875,0.012159347534179688
mps-uncap,1.2,0.011682510375976562,0.013113021850585938,0.017642974853515625
mig,1.2,0.034809112548828125,0.020742416381835938,0.014543533325195312
mps-uncap,1.3,0.014066696166992188,0.013828277587890625,0.04172325134277344
mig,1.3,0.031948089599609375,0.017404556274414062,0.014066696166992188
