mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,19.172191619873047,26.96216106414795,3.4513473510742188
mig,0.6,36.017656326293945,80.30891418457031,3.6983489990234375
mps-uncap,0.7,19.43826675415039,29.216408729553223,3.4787654876708984
mig,0.7,35.83860397338867,80.39379119873047,3.688812255859375
mps-uncap,0.8,19.414544105529785,36.437273025512695,3.4630298614501953
mig,0.8,36.006808280944824,80.91521263122559,3.6764144897460938
mps-uncap,0.9,19.695162773132324,38.56337070465088,3.4918785095214844
mig,0.9,36.30495071411133,81.47501945495605,3.736734390258789
mps-uncap,1.0,20.223617553710938,40.91525077819824,3.4720897674560547
mig,1.0,36.53407096862793,81.9857120513916,3.7279129028320312
mps-uncap,1.1,22.13740348815918,43.152809143066406,3.5583972930908203
mig,1.1,36.56816482543945,82.0319652557373,3.7004947662353516
mps-uncap,1.2,26.926517486572266,44.24726963043213,6.0405731201171875
mig,1.2,36.57817840576172,82.21220970153809,3.7276744842529297
mps-uncap,1.3,28.41019630432129,45.68469524383545,17.661571502685547
mig,1.3,36.507606506347656,82.10372924804688,3.7322044372558594
