mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,16.480445861816406,22.713184356689453,3.3299922943115234
mig,0.6,33.827781677246094,77.73137092590332,3.5562515258789062
mps-uncap,0.7,16.496896743774414,22.813081741333008,3.355264663696289
mig,0.7,33.98013114929199,77.70514488220215,3.5588741302490234
mps-uncap,0.8,16.518831253051758,22.885799407958984,3.3257007598876953
mig,0.8,33.7374210357666,77.98337936401367,3.551006317138672
mps-uncap,0.9,16.498804092407227,23.072481155395508,3.3440589904785156
mig,0.9,33.90908241271973,77.91543006896973,3.608226776123047
mps-uncap,1.0,16.51740074157715,22.982358932495117,3.3097267150878906
mig,1.0,34.02233123779297,78.55033874511719,3.5986900329589844
mps-uncap,1.1,16.527652740478516,23.202896118164062,3.3218860626220703
mig,1.1,34.17801856994629,78.07517051696777,3.5660266876220703
mps-uncap,1.2,16.33620262145996,23.115873336791992,3.348827362060547
mig,1.2,34.19637680053711,78.66835594177246,3.60107421875
mps-uncap,1.3,16.579389572143555,23.16570281982422,3.3969879150390625
mig,1.3,34.38973426818848,79.01644706726074,3.607511520385742
