mode,load,0_vgg19-32,1_vgg19-4,2_inception_v3-8
mps-uncap,1.0,1105.5067773863498,201.88675098721313,125.33609190070426
mig,1.0,622.7411776007766,295.1983428701685,745.8879437989937
