mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,248.66803741046436,464.7044318689612,2039.7565236717212
mps-uncap,0.9,282.08317104524633,525.4352310601643,2284.340696353107
mps-uncap,1.0,296.3116587894023,577.7869331159034,2502.113610572882
mps-uncap,0.5,152.37938629421714,293.9784658266335,1265.6963587975945
mps-uncap,0.6,185.9014980080746,332.86851279959205,1481.710539474511
mps-uncap,0.7,221.19837009329848,399.47704381067183,1773.0866653323783
mps-uncap,0.1,28.7643674936761,56.62473452650259,255.94557668475298
mps-uncap,0.2,64.46082659378969,110.06299181783167,503.52242695356904
mps-uncap,0.3,88.08044964951425,174.54046229398182,747.5211276655094
mps-uncap,0.4,120.62855249475328,218.91908453637788,991.3513351584746
