mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,14.028739929199219,13.173890113830566,3.7186861038208012
mps-uncap,0.9,14.14179801940918,13.259649276733398,3.8885116577148438
mps-uncap,1.0,14.264297485351562,13.344526290893555,3.995275497436523
mps-uncap,0.5,14.377117156982422,14.370036125183105,4.122161865234376
mps-uncap,0.6,13.596534729003906,13.183164596557617,3.9796829223632812
mps-uncap,0.7,13.680267333984375,13.759469985961914,3.499269485473633
mps-uncap,0.1,21.757078170776367,21.727466583251953,6.228280067443848
mps-uncap,0.2,20.723247528076172,21.618127822875977,6.360030174255371
mps-uncap,0.3,16.819691658020023,16.373968124389652,5.92808723449707
mps-uncap,0.4,15.774726867675781,15.871119499206543,5.401897430419922
