mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,171.60487174987793,101.11737251281738,42.77610778808594
mps-uncap,0.9,387.48788833618164,188.86303901672363,58.57515335083008
mps-uncap,1.0,4332.67068862915,457.05294609069824,471.2564945220947
mps-uncap,0.5,45.43280601501465,51.709890365600586,30.47943115234375
mps-uncap,0.6,51.56135559082031,58.771371841430664,24.601221084594727
mps-uncap,0.7,122.96748161315918,86.62629127502441,26.84307098388672
mps-uncap,0.1,24.907827377319336,25.867700576782227,13.396024703979492
mps-uncap,0.2,38.829803466796875,40.25912284851074,18.14723014831543
mps-uncap,0.3,50.7049560546875,41.56756401062012,24.753332138061523
mps-uncap,0.4,37.05763816833496,49.62658882141113,26.53360366821289
