mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,62.90416717529297,52.16712951660159,12.73794174194336
mps-uncap,0.9,154.72810268402102,89.47372436523438,20.95484733581543
mps-uncap,1.0,3445.721507072449,252.0464897155762,255.5720806121825
mps-uncap,0.5,25.001287460327145,28.389096260070808,9.417963027954102
mps-uncap,0.6,28.925180435180664,28.530550003051754,8.505105972290039
mps-uncap,0.7,43.83401870727539,41.38617515563965,8.719682693481445
mps-uncap,0.1,23.596763610839847,22.491741180419922,7.731223106384279
mps-uncap,0.2,26.468753814697266,26.13520622253418,10.818409919738773
mps-uncap,0.3,26.76856517791748,25.495910644531254,11.018371582031252
mps-uncap,0.4,24.263381958007812,24.00610446929932,10.432386398315431
