mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,0.011682510375976562,0.010251998901367188,0.00858306884765625
mps-uncap,0.9,0.012159347534179688,0.010013580322265625,0.008821487426757812
mps-uncap,1.0,0.018596649169921875,0.011920928955078125,0.010251998901367188
mps-uncap,0.5,0.010013580322265625,0.010967254638671875,0.008821487426757812
mps-uncap,0.6,0.009775161743164062,0.010728836059570312,0.008344650268554688
mps-uncap,0.7,0.011682510375976562,0.011682510375976562,0.008821487426757812
mps-uncap,0.1,0.012874603271484375,0.012874603271484375,0.010967254638671875
mps-uncap,0.2,0.012874603271484375,0.012874603271484375,0.011205673217773438
mps-uncap,0.3,0.012159347534179688,0.012874603271484375,0.010967254638671875
mps-uncap,0.4,0.010967254638671875,0.011682510375976562,0.01049041748046875
