mode,load,0_efficientnet_b5-4,1_efficientnet_b5-8,2_mobilenet_v3_small-8
mps-uncap,0.8,8.725166320800781,9.177446365356445,2.3250579833984375
mps-uncap,0.9,8.878231048583984,9.271383285522461,2.3229122161865234
mps-uncap,1.0,12.909889221191406,10.118961334228516,2.3865699768066406
mps-uncap,0.5,8.826971054077148,9.067058563232422,2.312183380126953
mps-uncap,0.6,8.894920349121094,9.151935577392578,2.346038818359375
mps-uncap,0.7,8.760929107666016,9.149789810180664,2.3441314697265625
mps-uncap,0.1,9.028911590576172,9.166955947875977,2.381563186645508
mps-uncap,0.2,8.810043334960938,9.085893630981445,2.3648738861083984
mps-uncap,0.3,8.841753005981445,9.157896041870117,2.338409423828125
mps-uncap,0.4,8.8043212890625,9.124040603637695,2.325773239135742
