mode,load,0_mobilenet_v3_small-8,1_mobilenet_v3_small-8
mig,0.1,6.1241865158081055,6.205463409423828
mig,0.2,6.185770034790039,6.212425231933595
mig,0.3,5.326032638549805,5.5179595947265625
mig,0.4,4.087209701538086,4.030299186706544
mig,0.5,3.3921480178832994,3.6797285079956064
mig,0.6,2.5877952575683594,2.555370330810547
mig,0.7,2.520322799682617,2.507925033569336
mig,0.8,2.503633499145508,2.501249313354492
mig,0.9,2.496957778930664,2.439260482788086
mig,1.0,2.4874210357666016,2.4385452270507812
