mode,load,0_mobilenet_v3_small-8,1_mobilenet_v3_small-8
mig,0.1,13.482768535614015,14.39533233642578
mig,0.2,17.667818069458,18.003630638122555
mig,0.3,17.475903034210205,18.678846359252926
mig,0.4,16.73583984374999,14.819962978363016
mig,0.5,12.60785102844239,13.483927249908445
mig,0.6,13.504743576049796,14.24393653869631
mig,0.7,17.628996372222907,15.662014484405587
mig,0.8,27.017617225646994,30.896859169006298
mig,0.9,66.7093276977539,58.837401866912835
mig,1.0,707.4862003326416,267.5795173645019
