mode,load,0_mobilenet_v3_small-8,1_mobilenet_v3_small-8
mig,0.1,336.2749763280266,337.5934419938885
mig,0.2,675.7249503406915,676.4379258727471
mig,0.3,1019.693589600956,1008.9845698374621
mig,0.4,1328.2173967733524,1342.9376302822545
mig,0.5,1709.6541459575415,1661.6859302291593
mig,0.6,2004.4290379793572,2003.8621976122993
mig,0.7,2318.1232628458665,2354.497863914756
mig,0.8,2642.854180891592,2652.5058249319427
mig,0.9,3007.395837433703,3051.2537156814874
mig,1.0,3290.5188140441783,3340.0658348009683
