mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,42.67771244049075,7.441520690917969,201.04074478149417
mps-uncap,0.9,1809.772801399231,22.617435455322276,5014.675712585449
mps-uncap,1.0,5071.89793586731,106.122636795044,10087.42024898529
mps-uncap,0.5,3.7909746170043945,1.4653444290161137,9.333753585815435
mps-uncap,0.6,5.820369720458986,2.1682739257812504,14.283466339111325
mps-uncap,0.7,7.776021957397461,5.4130077362060565,34.516429901123075
mps-uncap,0.1,0.9534358978271488,0.0776767730712891,6.727933883666992
mps-uncap,0.2,1.9317626953124993,0.820302963256836,7.7209949493408185
mps-uncap,0.3,2.0102977752685542,1.0211944580078127,7.013225555419924
mps-uncap,0.4,2.693629264831543,1.3323307037353527,6.676435470581055
