mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,2.4237632751464844,1.9255876541137695,4.608869552612305
mps-uncap,0.9,2.3925304412841797,1.9261837005615234,4.563188552856445
mps-uncap,1.0,2.2635459899902344,1.7938613891601562,4.533529281616211
mps-uncap,0.5,2.3603439331054688,1.7428398132324219,4.723644256591797
mps-uncap,0.6,2.311491966247559,1.8105506896972656,4.567122459411621
mps-uncap,0.7,2.2128820419311523,2.0401477813720703,4.504990577697755
mps-uncap,0.1,3.563022613525391,1.6319274902343752,9.618282318115234
mps-uncap,0.2,3.652524948120117,1.8687725067138674,9.433507919311523
mps-uncap,0.3,3.1669139862060547,1.7581462860107424,7.3137760162353525
mps-uncap,0.4,2.8409481048583984,1.789093017578125,5.9528350830078125
