mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,6770.843575478327,2333.2745894448767,1786.6988331694447
mps-uncap,0.9,7333.674933425471,2637.1982282320478,1831.4006651709833
mps-uncap,1.0,7554.66905663331,2895.6664684296097,1834.3894199597128
mps-uncap,0.5,4143.941146082886,1444.6725096094426,1115.9620790260205
mps-uncap,0.6,4979.050390401365,1772.8625986555592,1355.9161098737557
mps-uncap,0.7,5950.4536697786425,2014.2699687741651,1553.8079622377102
mps-uncap,0.1,830.0616883957983,292.19108159277164,231.07405926267205
mps-uncap,0.2,1656.4742309112576,591.8175079216393,448.09866788383005
mps-uncap,0.3,2509.594001106319,886.9624582322477,663.0645779185031
mps-uncap,0.4,3312.4586095560207,1154.065113334626,869.8140270866083
