mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,124.81260299682617,27.266263961791992,300.1217842102051
mps-uncap,0.9,2152.2226333618164,52.437782287597656,5533.809185028076
mps-uncap,1.0,5574.845314025879,235.37731170654297,11147.499322891235
mps-uncap,0.5,15.279769897460938,7.865190505981445,38.536787033081055
mps-uncap,0.6,24.903535842895508,10.614395141601562,46.71978950500488
mps-uncap,0.7,26.598691940307617,21.64483070373535,99.68447685241699
mps-uncap,0.1,7.690906524658203,4.161357879638672,28.3815860748291
mps-uncap,0.2,10.643243789672852,8.47172737121582,28.598308563232422
mps-uncap,0.3,10.456085205078125,7.02977180480957,25.916337966918945
mps-uncap,0.4,16.808509826660156,7.4024200439453125,25.676727294921875
