mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,2.1681785583496094,1.3277530670166016,4.3792724609375
mps-uncap,0.9,2.1643638610839844,1.3871192932128906,4.33349609375
mps-uncap,1.0,2.0978450775146484,1.3661384582519531,4.3277740478515625
mps-uncap,0.5,1.9443035125732422,0.9834766387939453,4.248142242431641
mps-uncap,0.6,1.9977092742919922,1.0044574737548828,4.255771636962891
mps-uncap,0.7,1.9910335540771484,1.302480697631836,4.24647331237793
mps-uncap,0.1,2.8944015502929688,1.3692378997802734,8.4686279296875
mps-uncap,0.2,2.118825912475586,1.2943744659423828,7.151365280151367
mps-uncap,0.3,1.7900466918945312,1.1792182922363281,4.740715026855469
mps-uncap,0.4,1.8085241317749023,1.2068748474121094,4.2438507080078125
