mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,87.39444494247437,17.929375171661377,266.512861251831
mps-uncap,0.9,2118.266248703003,43.354372978210435,5502.80692100525
mps-uncap,1.0,5550.4558753967285,222.28046894073495,11055.100548267365
mps-uncap,0.5,10.731315612792955,5.070073604583728,24.26706314086914
mps-uncap,0.6,15.01313686370851,6.420149803161587,33.14213514328004
mps-uncap,0.7,18.245983123779308,13.34798812866212,79.64348077774048
mps-uncap,0.1,6.8065261840820375,3.024206161499024,24.40187931060788
mps-uncap,0.2,8.415031433105469,4.169235229492182,24.99405860900877
mps-uncap,0.3,8.414030075073219,4.51624870300293,21.77776336669924
mps-uncap,0.4,9.257903099060043,5.022592544555664,18.309187889099125
