mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,10.738372802734375,11.022090911865234,12.781143188476562
mps-uncap,0.9,13.632059097290039,7.589101791381836,17.49563217163086
mps-uncap,1.0,13.61393928527832,12.684345245361328,13.619661331176758
mps-uncap,0.5,10.827064514160156,9.307861328125,12.547969818115234
mps-uncap,0.6,11.821269989013672,10.905265808105469,9.680986404418945
mps-uncap,0.7,7.210731506347656,10.115861892700195,11.804342269897461
mps-uncap,0.1,7.285356521606445,4.192590713500977,11.451959609985352
mps-uncap,0.2,6.68644905090332,8.50057601928711,12.661933898925781
mps-uncap,0.3,9.217023849487305,11.221170425415039,10.8642578125
mps-uncap,0.4,6.972074508666992,7.660150527954102,10.113716125488281
