mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,2.9450845718383794,2.4236440658569336,4.868240356445312
mps-uncap,0.9,2.8396320343017574,2.4085044860839844,4.809589385986328
mps-uncap,1.0,2.476930618286133,2.1250247955322266,4.718472957611084
mps-uncap,0.5,5.007147789001464,2.3711538314819327,6.179294586181643
mps-uncap,0.6,4.8170280456543,2.360696792602538,5.895464420318618
mps-uncap,0.7,3.319776058197023,2.546072006225586,5.073230266571042
mps-uncap,0.1,4.788188934326173,2.4170684814453156,10.0344181060791
mps-uncap,0.2,5.00366687774658,2.811861038208007,9.920120239257812
mps-uncap,0.3,4.665746688842759,2.5895118713378906,8.59789848327637
mps-uncap,0.4,4.6451997756957955,2.561397552490234,7.659363746643073
