mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,11.672139167785645,2.963900566101074,69.40698623657227
mps-uncap,0.9,766.7523622512817,6.988048553466797,2700.9785175323486
mps-uncap,1.0,3061.4075660705566,21.8580961227417,5859.79700088501
mps-uncap,0.5,2.572298049926758,1.3301372528076172,6.141424179077148
mps-uncap,0.6,3.2895803451538086,1.524209976196289,7.963061332702637
mps-uncap,0.7,3.895998001098633,2.283811569213867,12.133598327636719
mps-uncap,0.1,3.004312515258789,1.4224052429199219,9.382247924804688
mps-uncap,0.2,2.792835235595703,1.3666152954101562,7.988452911376953
mps-uncap,0.3,2.0089149475097656,1.2924671173095703,6.668567657470703
mps-uncap,0.4,2.0952224731445312,1.373291015625,5.837678909301758
