mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,0.008821487426757812,0.00858306884765625,0.009775161743164062
mps-uncap,0.9,0.01049041748046875,0.008821487426757812,0.01239776611328125
mps-uncap,1.0,0.011205673217773438,0.009298324584960938,0.012159347534179688
mps-uncap,0.5,0.008821487426757812,0.00858306884765625,0.0095367431640625
mps-uncap,0.6,0.008821487426757812,0.00858306884765625,0.0095367431640625
mps-uncap,0.7,0.008821487426757812,0.00858306884765625,0.009775161743164062
mps-uncap,0.1,0.011920928955078125,0.01239776611328125,0.011444091796875
mps-uncap,0.2,0.011444091796875,0.011205673217773438,0.011444091796875
mps-uncap,0.3,0.010967254638671875,0.01049041748046875,0.011682510375976562
mps-uncap,0.4,0.009059906005859375,0.01049041748046875,0.0095367431640625
