mode,load,0_alexnet-16,1_alexnet-4,2_mobilenet_v3_small-8
mps-uncap,0.8,1.5475749969482422,0.7517337799072266,4.216670989990234
mps-uncap,0.9,1.6319751739501953,0.782012939453125,4.536867141723633
mps-uncap,1.0,1.7132759094238281,0.7789134979248047,4.134416580200195
mps-uncap,0.5,1.4786720275878906,0.7369518280029297,4.081249237060547
mps-uncap,0.6,1.485586166381836,0.7486343383789062,4.081010818481445
mps-uncap,0.7,1.4984607696533203,0.7436275482177734,4.094123840332031
mps-uncap,0.1,1.5666484832763672,0.77056884765625,4.198551177978516
mps-uncap,0.2,1.5320777893066406,0.8292198181152344,4.083395004272461
mps-uncap,0.3,1.4660358428955078,0.7641315460205078,4.088401794433594
mps-uncap,0.4,1.466512680053711,0.7584095001220703,4.00233268737793
