mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,8.217096328735352,2.351999282836914,2.4662017822265625
mps-uncap,0.9,8.591651916503906,2.3745298385620117,2.506256103515625
mps-uncap,1.0,9.108304977416992,2.3958683013916016,2.5022029876708984
mps-uncap,0.5,8.003473281860352,2.3763179779052734,2.534151077270508
mps-uncap,0.6,8.056163787841797,2.3584365844726562,2.483844757080078
mps-uncap,0.7,8.199930191040039,2.3572444915771484,2.50244140625
mps-uncap,0.1,11.807441711425781,5.506277084350586,5.7010650634765625
mps-uncap,0.2,11.645317077636719,5.293726921081543,5.663633346557617
mps-uncap,0.3,9.977340698242188,3.8111209869384766,4.061341285705566
mps-uncap,0.4,8.249402046203613,3.7043094635009766,3.978848457336426
