mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,6.423711776733398,2.170085906982422,2.233743667602539
mps-uncap,0.9,6.487607955932617,2.179384231567383,2.2475719451904297
mps-uncap,1.0,7.29680061340332,2.1948814392089844,2.3250579833984375
mps-uncap,0.5,6.475925445556641,2.1848678588867188,2.2535324096679688
mps-uncap,0.6,6.435394287109375,2.213001251220703,2.279520034790039
mps-uncap,0.7,6.486177444458008,2.218008041381836,2.317190170288086
mps-uncap,0.1,6.496906280517578,2.2482872009277344,2.336263656616211
mps-uncap,0.2,6.460666656494141,2.186298370361328,2.348184585571289
mps-uncap,0.3,6.455421447753906,2.1927356719970703,2.3097991943359375
mps-uncap,0.4,6.506919860839844,2.201080322265625,2.3827552795410156
