mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,105.07559776306152,33.17761421203613,30.20620346069336
mps-uncap,0.9,206.07662200927734,68.50433349609375,62.00671195983887
mps-uncap,1.0,572.451114654541,301.45740509033203,86.96222305297852
mps-uncap,0.5,38.84696960449219,19.797801971435547,19.17099952697754
mps-uncap,0.6,41.31293296813965,20.465850830078125,18.979549407958984
mps-uncap,0.7,72.67999649047852,17.319440841674805,29.22534942626953
mps-uncap,0.1,22.355079650878906,11.039018630981445,14.803409576416016
mps-uncap,0.2,30.246496200561523,24.264097213745117,22.672653198242188
mps-uncap,0.3,26.675701141357422,22.38941192626953,23.146867752075195
mps-uncap,0.4,34.2562198638916,20.719528198242188,26.56722068786621
