mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,56.93727970123299,21.06479406356814,20.24934291839601
mps-uncap,0.9,147.83429145812974,50.12620449066133,45.615024566650355
mps-uncap,1.0,506.1382579803466,270.95965385437023,62.733936309814496
mps-uncap,0.5,24.12171363830565,11.548395156860341,12.028045654296879
mps-uncap,0.6,26.923274993896467,10.965037345886232,9.734272956848141
mps-uncap,0.7,42.006869316101046,11.602201461791958,15.64527511596678
mps-uncap,0.1,12.344446182250982,7.405233383178715,6.51770353317261
mps-uncap,0.2,20.229840278625435,11.982696056365965,12.470197677612305
mps-uncap,0.3,19.522905349731435,13.763074874877937,13.727118968963625
mps-uncap,0.4,19.50336217880244,12.32189178466793,14.490818977355955
