mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,8.690595626831055,3.2029151916503906,3.364086151123047
mps-uncap,0.9,8.791255950927736,3.2243728637695312,3.4354209899902344
mps-uncap,1.0,9.304285049438477,3.2381534576416016,3.237009048461914
mps-uncap,0.5,9.469032287597656,3.777599334716797,3.970813751220704
mps-uncap,0.6,9.021520614624023,3.1447410583496094,3.4749507904052734
mps-uncap,0.7,9.084081649780273,3.0570030212402344,3.324413299560547
mps-uncap,0.1,12.394380569458006,5.88536262512207,6.104397773742676
mps-uncap,0.2,12.914705276489261,5.873513221740723,6.268167495727539
mps-uncap,0.3,12.866854667663574,5.492258071899414,5.796170234680176
mps-uncap,0.4,11.570930480957031,4.291439056396484,4.909157752990723
