mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,25.33020973205567,9.977364540100096,10.395288467407227
mps-uncap,0.9,72.05252647399904,25.619959831237793,20.341491699218754
mps-uncap,1.0,405.61900138854986,211.096715927124,38.05947303771973
mps-uncap,0.5,11.150360107421875,5.01899719238281,5.250597000122072
mps-uncap,0.6,12.88914680480957,5.102634429931641,4.686117172241211
mps-uncap,0.7,18.77851486206055,6.172895431518558,7.168292999267579
mps-uncap,0.1,3.381776809692382,3.470182418823242,2.5474548339843754
mps-uncap,0.2,9.169769287109375,5.46250343322754,5.908870697021483
mps-uncap,0.3,9.389877319335938,6.1915159225463885,6.444954872131351
mps-uncap,0.4,9.133076667785645,5.702733993530272,6.451964378356934
