mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,13.80777359008789,5.161762237548828,5.203962326049805
mps-uncap,0.9,22.881746292114258,9.371757507324219,7.887363433837891
mps-uncap,1.0,169.94380950927734,125.87785720825195,13.411283493041992
mps-uncap,0.5,9.444475173950195,3.7384033203125,3.958463668823242
mps-uncap,0.6,9.41610336303711,3.5703182220458984,3.6422014236450195
mps-uncap,0.7,11.799097061157227,3.9322376251220703,4.261255264282227
mps-uncap,0.1,12.03608512878418,5.682945251464844,5.856513977050781
mps-uncap,0.2,12.128829956054688,5.614161491394043,6.054878234863281
mps-uncap,0.3,11.650323867797852,5.274772644042969,5.707740783691406
mps-uncap,0.4,9.968400001525879,4.344701766967773,4.845738410949707
