mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,6.4754486083984375,2.222299575805664,2.277851104736328
mps-uncap,0.9,6.530523300170898,2.233266830444336,2.282857894897461
mps-uncap,1.0,7.735967636108398,2.2754669189453125,2.3806095123291016
mps-uncap,0.5,6.490468978881836,2.208232879638672,2.2954940795898438
mps-uncap,0.6,6.447315216064453,2.257108688354492,2.3300647735595703
mps-uncap,0.7,6.50787353515625,2.251863479614258,2.3474693298339844
mps-uncap,0.1,6.518125534057617,2.2585391998291016,2.349376678466797
mps-uncap,0.2,6.47282600402832,2.2132396697998047,2.4080276489257812
mps-uncap,0.3,6.476163864135742,2.2449493408203125,2.357006072998047
mps-uncap,0.4,6.529569625854492,2.225637435913086,2.4154186248779297
