mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,65.5787515640259,23.631017208099394,22.856459617614853
mps-uncap,0.9,156.3473701477049,52.626590728759666,48.61170291900635
mps-uncap,1.0,515.0986385345459,273.6993980407717,65.38143157958986
mps-uncap,0.5,31.866121292114226,14.683370590209945,15.046973228454599
mps-uncap,0.6,35.214471817016594,13.573718070983888,12.54316568374633
mps-uncap,0.7,50.0151491165161,14.070301055908194,18.264837265014627
mps-uncap,0.1,23.549919128417972,12.773227691650405,12.034032344818115
mps-uncap,0.2,29.06329154968261,16.544048786163327,17.7613639831543
mps-uncap,0.3,28.722929954528805,17.938151359558105,18.18273782730103
mps-uncap,0.4,27.893900871276795,15.726151466369627,18.327593803405758
