mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,9.968042373657227,4.516363143920898,4.351139068603516
mps-uncap,0.9,11.194229125976562,4.08625602722168,4.657268524169922
mps-uncap,1.0,10.535717010498047,4.700660705566406,4.480600357055664
mps-uncap,0.5,14.072895050048828,5.841493606567383,6.338357925415039
mps-uncap,0.6,11.981487274169922,5.598783493041992,6.348371505737305
mps-uncap,0.7,10.33329963684082,4.407167434692383,4.834651947021484
mps-uncap,0.1,13.257265090942383,6.597042083740234,6.8912506103515625
mps-uncap,0.2,14.99485969543457,6.9446563720703125,7.579565048217773
mps-uncap,0.3,15.244483947753906,7.272243499755859,7.858514785766602
mps-uncap,0.4,14.815330505371094,6.557226181030273,7.016181945800781
