mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,8.841080665588379,3.711762428283692,3.7641525268554688
mps-uncap,0.9,8.941888809204102,3.7232613563537584,3.8099288940429688
mps-uncap,1.0,9.453802108764648,3.676981925964356,3.5207271575927734
mps-uncap,0.5,11.788654327392578,4.705371856689452,5.021123886108401
mps-uncap,0.6,9.895086288452147,3.9296627044677734,4.171800613403319
mps-uncap,0.7,9.410910606384277,3.5084438323974565,3.812541961669922
mps-uncap,0.1,12.841854095458984,6.247901916503907,6.452879905700684
mps-uncap,0.2,13.864336013793945,6.319591999053955,6.799211502075195
mps-uncap,0.3,13.68865966796875,6.302404403686524,6.611986160278322
mps-uncap,0.4,13.24686527252197,5.508522987365723,6.171000003814695
