mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,1370.7986232660628,1232.0700913970918,2267.693383073489
mps-uncap,0.9,1590.2691825851712,1378.491075387468,2548.521089686758
mps-uncap,1.0,1727.453110102416,1525.9785402968766,2737.0215521853625
mps-uncap,0.5,884.0797920814335,767.4303067317151,1414.1692939666227
mps-uncap,0.6,1007.5564724438569,923.2791535009426,1701.6512637398669
mps-uncap,0.7,1196.9435435018254,1072.595746984781,1994.7773151968893
mps-uncap,0.1,179.328304400348,156.28872129321056,282.7577570296008
mps-uncap,0.2,370.92593433214324,312.45665039154943,577.8467459839194
mps-uncap,0.3,518.0815197435219,460.67763250386616,842.7469480192087
mps-uncap,0.4,698.2996147426711,606.1513343677634,1102.5977856103461
