mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,33.60676765441895,12.522602081298828,13.062429428100584
mps-uncap,0.9,80.12218475341807,28.22654247283935,23.006439208984382
mps-uncap,1.0,414.7513866424561,213.64459991455075,40.74573516845703
mps-uncap,0.5,19.447803497314453,7.922506332397459,8.38608741760256
mps-uncap,0.6,20.907878875732422,7.632017135620117,7.38370418548584
mps-uncap,0.7,26.85570716857911,8.652162551879883,9.813213348388674
mps-uncap,0.1,13.761854171752928,8.759498596191406,7.970046997070315
mps-uncap,0.2,20.152568817138675,10.640525817871096,11.304616928100586
mps-uncap,0.3,19.590377807617188,10.526728630065929,10.96162796020508
mps-uncap,0.4,18.136215209960948,9.158945083618162,10.252833366394043
