mode,load,0_inception_v3-16,1_mobilenet_v2-4,2_mobilenet_v3_small-8
mps-uncap,0.8,5.672931671142578,2.6050806045532227,2.554655075073242
mps-uncap,0.9,14.39523696899414,6.8111419677734375,5.215167999267578
mps-uncap,1.0,160.96901893615723,123.20828437805176,10.734796524047852
mps-uncap,0.5,0.05125999450683594,0.4284381866455078,0.40411949157714844
mps-uncap,0.6,0.6310939788818359,0.9427070617675781,0.6852149963378906
mps-uncap,0.7,3.572702407836914,1.4715194702148438,1.6760826110839844
mps-uncap,0.1,0.05626678466796875,0.0457763671875,0.04553794860839844
mps-uncap,0.2,0.052928924560546875,0.04601478576660156,0.04649162292480469
mps-uncap,0.3,0.04982948303222656,0.04744529724121094,0.051021575927734375
mps-uncap,0.4,0.049591064453125,0.3044605255126953,0.32317638397216797
