mode,load,0_efficientnet_b6-16,1_resnet50-16,2_squeezenet1_0-8
mps-uncap,0.8,294.2517322146199,895.9905130020795,1018.0418007176179
mps-uncap,0.9,319.3863015117064,1026.620705056452,1146.0189745880532
mps-uncap,1.0,361.58193451278896,979.1827840085953,1156.460983622669
mps-uncap,0.5,175.6399859900604,576.6999335120578,619.36960127187
mps-uncap,0.6,201.03595646981364,680.8204392337358,741.7724205051678
mps-uncap,0.7,251.5902550382262,789.7171588964919,915.0480660031661
mps-uncap,0.1,35.35538227495711,120.12374691658593,123.29430835920533
mps-uncap,0.2,75.03259314246455,222.38223283089184,253.9861147558869
mps-uncap,0.3,97.42663416101081,340.5214618558739,378.55096321338704
mps-uncap,0.4,147.65364290242528,471.8110128757208,500.15313397660475
