mode,load,0_efficientnet_b7-16,1_efficientnet_b7-16,2_efficientnet_b7-16,3_efficientnet_b7-16
mig,0.1,185.6403350830078,248.0170726776123,164.9913787841797,356.88114166259766
mig,0.2,339.70141410827637,243.94679069519043,252.9153823852539,540.0538444519043
mig,0.3,449.87988471984863,311.2907409667969,406.0792922973633,432.0390224456787
mig,0.4,404.36625480651855,519.1893577575684,353.79695892333984,637.0761394500732
mig,0.5,406.7034721374512,486.9956970214844,447.15213775634766,514.3201351165771
mig,0.6,809.4773292541504,814.5809173583984,724.4706153869629,1195.0271129608154
mig,0.7,975.0401973724365,1211.4136219024658,735.0890636444092,1227.5128364562988
mig,0.8,1886.5888118743896,1851.4375686645508,800.4066944122314,1456.9404125213623
mig,0.9,4499.8743534088135,4170.523643493652,3186.1629486083984,5823.261737823486
mig,1.0,4455.432653427124,4933.481216430664,7337.337493896484,5851.836919784546
