mode,load,0_efficientnet_b6-16,1_efficientnet_b6-16
mig,0.1,36.27300262451172,43.26951503753662
mig,0.2,36.41641139984131,43.405890464782715
mig,0.3,36.54468059539795,43.552398681640625
mig,0.4,37.77801990509033,44.040679931640625
mig,0.5,39.69705104827881,50.92954635620117
mig,0.6,51.500558853149414,65.63866138458252
mig,0.7,68.94850730895996,84.05518531799316
mig,0.8,120.21112442016602,103.51169109344482
mig,0.9,1149.0192413330078,604.6931743621826
mig,1.0,3456.473469734192,3466.5355682373047
