mode,load,0_densenet161-8,1_vgg11-32,2_vgg13-2
mps-uncap,0.8,394.5894241333008,246.65451049804688,114.30168151855469
mps-uncap,0.9,389.1103267669678,254.97007369995117,214.48874473571777
mps-uncap,1.0,1151.613473892212,498.09765815734863,807.8007698059082
mps-uncap,0.5,51.45072937011719,57.674407958984375,25.326013565063477
mps-uncap,0.6,104.95328903198242,70.28007507324219,42.7095890045166
mps-uncap,0.7,123.9013671875,98.62613677978516,71.1977481842041
mps-uncap,0.1,5.8135986328125,11.321067810058594,2.0830631256103516
mps-uncap,0.2,18.958568572998047,17.534732818603516,7.452726364135742
mps-uncap,0.3,32.90581703186035,27.144908905029297,15.333414077758789
mps-uncap,0.4,54.59403991699219,45.04966735839844,16.503572463989258
