mode,load,0_mobilenet_v3_large-4,1_resnet18-2,2_vgg19-8
mps-uncap,0.8,407.2850974106483,375.9220378825988,857.8583425100812
mps-uncap,0.9,453.5693350828563,443.5343453212437,987.7219204217532
mps-uncap,1.0,519.6848681162824,489.66094012386776,1085.4791948140135
mps-uncap,0.5,253.6987765413866,244.33867842439707,548.5568825488459
mps-uncap,0.6,302.6987271878596,292.19962133859605,642.6346337979566
mps-uncap,0.7,358.95203884337064,337.5887961608304,784.7519387490653
mps-uncap,0.1,51.24714905248529,49.45387978121027,112.19216921319938
mps-uncap,0.2,101.60825288240827,94.6892443363955,220.45509016807614
mps-uncap,0.3,145.82920559588504,148.21974745576847,317.9394010867652
mps-uncap,0.4,203.92524519281844,191.35176574016683,429.49054804179457
