mode,load,0_mobilenet_v3_large-4,1_resnet18-2,2_vgg19-8
mps-uncap,0.8,32.70230293273921,18.942575454711918,46.834993362426786
mps-uncap,0.9,63.51563930511474,42.941496372222936,82.05064296722412
mps-uncap,1.0,131.82157039642334,1087.7671265602116,285.81403970718384
mps-uncap,0.5,16.5930962562561,8.649320602416996,16.922516822814963
mps-uncap,0.6,16.74056053161621,11.32553815841675,20.49046754837036
mps-uncap,0.7,21.394014358520476,18.669590950012168,35.34198999404909
mps-uncap,0.1,6.251907348632831,2.699260711669922,5.576167106628424
mps-uncap,0.2,7.354366779327399,3.6169528961181667,6.916904449462887
mps-uncap,0.3,12.434816360473613,4.908676147460935,10.608758926391587
mps-uncap,0.4,13.588767051696735,6.545536518096923,13.936624526977546
