mode,load,0_mobilenet_v3_large-4,1_resnet18-2,2_vgg19-8
mps-uncap,0.8,38.96160125732413,22.446708679199283,53.7965774536134
mps-uncap,0.9,70.90768337249729,46.98078155517591,89.08287048339845
mps-uncap,1.0,138.8390016555786,1092.1012234687805,292.93904304504395
mps-uncap,0.5,22.065987586975094,11.891050338745119,23.325734138488794
mps-uncap,0.6,22.41384983062744,14.839453697204592,27.168345451354963
mps-uncap,0.7,28.065280914306594,22.233352661132766,42.06615924835206
mps-uncap,0.1,13.149547576904302,5.539131164550782,11.537556648254402
mps-uncap,0.2,14.321231842041021,6.712522506713869,13.036336898803679
mps-uncap,0.3,19.235897064208984,8.077261447906494,16.798992156982415
mps-uncap,0.4,19.34224128723144,9.877533912658688,20.263614654541026
